order_id,tanggal_pembelian,nama_pelanggan,kota,produk,merek,harga_satuan,jumlah,total_harga,metode_pembayaran,rating,status_pengiriman
ORD00001,2025/02/28,"Tgk. Eli Narpati, S.IP",Gorontalo,,Apple,9443827,1,9443827,Transfer Bank,4,Terkirim
ORD00002,2025-05-16,Hendra Pratiwi,,Vivo V29,Vivo,8682500,1,8682500,Kartu Kredit,4,Dalam Pengiriman
ORD00003,2025-06-30,"Tami Iswahyudi, S.Kom",Tual,Realme C55,Realme,6183710,1,6183710,Transfer Bank,1,Terkirim
ORD00004,,Rafid Saputra,binjai,Vivo Y27,vivo,13747665,1,13747665,COD,3,Terkirim
ORD00005,2025-06-28,,Bima,OPPO Reno10,OPPO,16139773,1,16139773,COD,3,Terkirim
ORD00006,2025-04-09,T. Mariadi Hidayat,depok,Vivo Y27,vivo,13747665,1,13747665,E-Wallet,3,Terkirim
ORD00007,2025-05-04,Talia Hardiansyah,Kendari,iPhone 14 Pro,Apple,,1,9443827,COD,4,Terkirim
ORD00008,2025-03-31,"Clara Kuswandari, S.E.",Bitung,Galaxy S23,Samsung,5131304,1,5131304,COD,4,Terkirim
ORD00009,2025/07/01,Dirja Saragih,Gorontalo,OPPO Reno10,,16139773,2,32279546,Kartu Kredit,4,Terkirim
ORD00010,2025-05-14,"Drs. Bagus Kusmawati, S.I.Kom",Tebingtinggi,Galaxy A14,Samsung,15965299,2,31930598,COD,5,Terkirim
ORD00011,2025-03-10,Nilam Marbun,palu,OPPO Reno10,oppo,16139773,2,32279546,Transfer Bank,5,Dalam Pengiriman
ORD00012,2025-06-11,Queen Maheswara,Kediri,OPPO A57,OPPO,13851031,2,27702062,E-Wallet,4,Terkirim
ORD00013,04-18-2025,Ratna Utami,jayapura,OPPO A57,oppo,500000000,1,13851031,COD,5,Terkirim
ORD00014,2025-06-07,Jayadi Pertiwi,Palembang,Vivo Y27,Vivo,13747665,1,13747665,Transfer Bank,1,Terkirim
ORD00015,,Harjaya Saragih,Batu,OPPO Reno10,OPPO,16139773,3,48419319,COD,3,Terkirim
ORD00016,2025-06-22,Amalia Saefullah,TANGERANG SELATAN,OPPO A57,OPPO,13851031,1,13851031,,1,Terkirim
ORD00017,,"Dipa Iswahyudi, S.H.",Bima,Galaxy A14,Samsung,15965299,3,47895897,Kartu Kredit,4,Terkirim
ORD00018,2025/04/07,Dt. Baktiono Kurniawan,Mojokerto,Galaxy A14,Samsung,15965299,1,15965299,COD,,Terkirim
ORD00019,2025/02/15,"Radit Susanti, S.H.",Ternate,Galaxy A14,Samsung,15965299,2,31930598,COD,3,Terkirim
ORD00020,02-01-2025,"Uli Prayoga, S.H.",,OPPO Reno10,OPPO,16139773,1,16139773,COD,5,Terkirim
ORD00021,2025-03-03,"Lasmanto Winarno, S.E.I",Manado,iPhone 13,Apple,11425080,2,22850160,Transfer Bank,2,Terkirim
ORD00022,2025/07/12,Ajiono Suryono,Bukittinggi,Realme 11 Pro,Realme,1743334,3,5230002,Kartu Kredit,5,Terkirim
ORD00023,2025-02-09,Uli Sinaga,Tasikmalaya,OPPO Reno10,OPPO,16139773,1,16139773,E-Wallet,3,Terkirim
ORD00024,2025/06/09,"Irma Purwanti, M.TI.",KOTA ADMINISTRASI JAKARTA TIMUR,Poco X5,XIAOMI,9263873,2,18527746,Kartu Kredit,2,Terkirim
ORD00025,2025/07/20,H. Galak Palastri,Jambi,Realme C55,Realme,6183710,2,,Transfer Bank,4,Terkirim
ORD00026,2025-06-13,Kala Tampubolon,Kendari,Realme 11 Pro,Realme,1743334,2,3486668,COD,3,Terkirim
ORD00027,2025-03-13,,Lhokseumawe,Realme 11 Pro,Realme,1743334,3,5230002,COD,3,Terkirim
ORD00028,2025-07-20,Ikhsan Sinaga,Padang,Redmi Note 12,Xiaomi,15542345,2,31084690,E-Wallet,3,Terkirim
ORD00029,2025-04-06,Natalia Saptono,Cimahi,OPPO Reno10,OPPO,16139773,1,16139773,Transfer Bank,5,Dalam Pengiriman
ORD00030,2025-03-21,Ir. Natalia Yolanda,PADANG,Galaxy S23,SAMSUNG,5131304,1,5131304,COD,4,Terkirim
ORD00031,03-02-2025,Lanjar Ardianto,TOMOHON,Galaxy S23,SAMSUNG,5131304,1,5131304,Transfer Bank,3,Terkirim
ORD00032,2025-07-01,Sabrina Mustofa,tual,iPhone 13,apple,11425080,2,22850160,Transfer Bank,4,Terkirim
ORD00033,2025-02-06,Harjo Mansur,BLITAR,OPPO A57,OPPO,13851031,1,13851031,Transfer Bank,,Gagal
ORD00034,2025-05-22,Puput Marpaung,Mataram,Vivo Y27,Vivo,13747665,1,13747665,COD,3,Terkirim
ORD00035,2025-03-22,Gawati Sihotang,Bukittinggi,OPPO Reno10,OPPO,16139773,3,,Transfer Bank,4,Terkirim
ORD00036,2025-05-24,Chelsea Manullang,Cirebon,Galaxy A14,Samsung,15965299,1,15965299,E-Wallet,2,Terkirim
ORD00037,2025-05-02,"Indra Zulkarnain, S.E.",Jambi,Poco X5,Xiaomi,9263873,2,18527746,COD,,Terkirim
ORD00038,05-10-2025,Kezia Sitompul,Makassar,Poco X5,Xiaomi,9263873,2,18527746,COD,4,Terkirim
ORD00039,2025-03-30,Putri Firgantoro,,Vivo Y27,Vivo,13747665,2,27495330,COD,3,Terkirim
ORD00040,2025-04-09,"Sutan Kawaya Wulandari, S.Sos",pariaman,Redmi Note 12,xiaomi,15542345,1,15542345,E-Wallet,4,Terkirim
ORD00041,2025-02-03,Kamidin Dabukke,Meulaboh,Poco X5,Xiaomi,9263873,2,18527746,E-Wallet,4,Terkirim
ORD00042,2025-05-29,"Balijan Susanti, S.Pt",Medan,Poco X5,Xiaomi,9263873,2,18527746,COD,2,Terkirim
ORD00043,2025/03/09,Teguh Usamah,Sibolga,iPhone 13,Apple,11425080,3,34275240,COD,4,Terkirim
,2025-02-11,Queen Laksita,PAYAKUMBUH,iPhone 13,APPLE,11425080,3,34275240,E-Wallet,3,Terkirim
ORD00045,2025-04-03,Jamalia Prayoga,SUKABUMI,iPhone 13,APPLE,99999999,1,11425080,Transfer Bank,5,Terkirim
ORD00046,2025-02-03,"Cakrajiya Sitompul, M.Farm",Dumai,Poco X5,Xiaomi,9263873,3,27791619,Transfer Bank,4,Terkirim
ORD00047,2025-02-01,Limar Permadi,Tangerang,iPhone 13,Apple,11425080,1,11425080,COD,5,Terkirim
ORD00048,2025-04-18,drg. Mujur Irawan,,Poco X5,Xiaomi,9263873,2,18527746,Transfer Bank,4,Terkirim
ORD00049,05-23-2025,Puji Suwarno,madiun,iPhone 13,apple,11425080,3,34275240,Transfer Bank,1,Dalam Pengiriman
ORD00050,07-19-2025,"Bahuwarna Purnawati, S.Farm",SIBOLGA,Realme C55,REALME,6183710,2,12367420,E-Wallet,4,Dalam Pengiriman
,2025-06-20,Teguh Safitri,Mataram,Poco X5,Xiaomi,9263873,1,9263873,Transfer Bank,5,Terkirim
ORD00052,07-10-2025,Drs. Reksa Sinaga,BIMA,Vivo Y27,VIVO,13747665,2,27495330,E-Wallet,4,Terkirim
ORD00053,2025-05-26,Ir. Eka Simbolon,Kupang,Redmi Note 12,Xiaomi,500000000,,46627035,E-Wallet,5,Terkirim
ORD00054,06-23-2025,Cinta Hastuti,Blitar,OPPO Reno10,OPPO,16139773,2,32279546,Transfer Bank,5,Terkirim
ORD00055,2025/04/24,Ira Uwais,cimahi,Realme 11 Pro,realme,1743334,1,1743334,Transfer Bank,3,Terkirim
ORD00056,2025-03-14,Lamar Wahyudin,Tanjungpinang,Redmi Note 12,Xiaomi,15542345,1,15542345,COD,3,Terkirim
,07-12-2025,"Ir. Cager Marbun, S.Pd",TANJUNGPINANG,Realme 11 Pro,REALME,99999999,2,3486668,Transfer Bank,4,Terkirim
ORD00058,2025/01/26,Najib Sinaga,Binjai,,OPPO,13851031,1,13851031,COD,4,Terkirim
ORD00059,2025-04-21,Hadi Agustina,MANADO,Redmi Note 12,XIAOMI,15542345,1,15542345,Transfer Bank,5,Terkirim
ORD00060,2025-02-28,Paulin Rahimah,CIREBON,Realme 11 Pro,REALME,1743334,3,5230002,E-Wallet,5,Terkirim
ORD00061,07-14-2025,"Nilam Lestari, S.Psi",Pekanbaru,Vivo Y27,Vivo,13747665,2,,Transfer Bank,3,Terkirim
ORD00062,2025-04-10,Lili Sitorus,Sabang,Vivo V29,Vivo,8682500,3,26047500,Kartu Kredit,3,Dalam Pengiriman
ORD00063,2025-05-23,"KH. Empluk Sitompul, M.M.",Tangerang Selatan,Poco X5,Xiaomi,9263873,2,18527746,Transfer Bank,5,Dalam Pengiriman
ORD00064,2025-04-23,Emas Putra,PRABUMULIH,Poco X5,XIAOMI,9263873,2,18527746,,3,Terkirim
ORD00065,2025-06-05,Oskar Waskita,Kota Administrasi Jakarta Timur,Poco X5,Xiaomi,9263873,2,18527746,Kartu Kredit,5,Dalam Pengiriman
ORD00066,02-14-2025,T. Tasdik Hardiansyah,PAYAKUMBUH,Galaxy S23,SAMSUNG,5131304,1,5131304,E-Wallet,4,Terkirim
ORD00067,2025-04-18,Anastasia Sinaga,Cilegon,Realme C55,Realme,6183710,2,12367420,Transfer Bank,4,Terkirim
ORD00068,2025-01-27,"Hamima Nababan, S.Farm",BENGKULU,Realme C55,REALME,6183710,3,18551130,Kartu Kredit,2,Terkirim
,2025-02-23,Belinda Ardianto,Tomohon,Vivo V29,Vivo,8682500,3,26047500,Transfer Bank,4,Terkirim
ORD00070,2025-04-15,"Jati Maulana, S.H.",Cilegon,Realme 11 Pro,Realme,1743334,3,5230002,Kartu Kredit,4,Terkirim
ORD00071,2025/04/24,,KOTA ADMINISTRASI JAKARTA PUSAT,Vivo V29,VIVO,8682500,2,17365000,Transfer Bank,4,Terkirim
ORD00072,2025-05-06,"Puti Suartini, S.Pd",Batam,Redmi Note 12,Xiaomi,15542345,2,31084690,Transfer Bank,3,Terkirim
ORD00073,2025/04/11,Rina Budiyanto,Mataram,Vivo V29,Vivo,8682500,1,8682500,Transfer Bank,4,Terkirim
,2025/02/13,Mustofa Pratiwi,Solok,Redmi Note 12,Xiaomi,15542345,3,46627035,COD,5,Terkirim
ORD00075,2025-06-29,"Estiono Simanjuntak, S.Pt",Bitung,Redmi Note 12,Xiaomi,500000000,3,46627035,Transfer Bank,3,Terkirim
ORD00076,05-07-2025,drg. Cornelia Siregar,Semarang,Realme 11 Pro,Realme,1743334,1,1743334,Transfer Bank,2,Terkirim
ORD00077,2025-02-01,Jarwadi Tamba,BEKASI,Redmi Note 12,XIAOMI,15542345,2,31084690,Kartu Kredit,1,Terkirim
ORD00078,2025-02-01,Pia Saefullah,Tegal,Realme 11 Pro,Realme,1743334,1,1743334,E-Wallet,4,Dalam Pengiriman
ORD00079,2025/02/21,Utama Damanik,BENGKULU,Realme C55,REALME,6183710,1,6183710,COD,4,Terkirim
ORD00080,,Olivia Wibisono,Bau-Bau,iPhone 14 Pro,Apple,9443827,1,9443827,Transfer Bank,4,Terkirim
ORD00081,05-26-2025,"Ir. Timbul Kurniawan, M.Pd",Madiun,Galaxy S23,Samsung,5131304,3,15393912,E-Wallet,3,Terkirim
ORD00082,05-15-2025,"Balamantri Haryanto, S.Farm",PALU,Vivo V29,VIVO,8682500,2,17365000,Kartu Kredit,3,Terkirim
ORD00083,2025/06/08,Eja Setiawan,Bima,Realme 11 Pro,Realme,1743334,3,5230002,E-Wallet,4,Terkirim
